Age,Country,Gender,Region,Total or Difference,Year,Literacy rate,Number of Records
25-64,Mongolia,female,Eastern and South-Eastern Asia,Total,2018,98.72%,1
25-64,Mongolia,male,Eastern and South-Eastern Asia,Total,2018,98.17%,1
25-64,Mongolia,total,Eastern and South-Eastern Asia,Total,2018,98.45%,1
65+,Mongolia,female,Eastern and South-Eastern Asia,Total,2018,96.58%,1
65+,Mongolia,male,Eastern and South-Eastern Asia,Total,2018,98.36%,1
65+,Mongolia,total,Eastern and South-Eastern Asia,Total,2018,97.32%,1
15+,Myanmar,female,Eastern and South-Eastern Asia,Total,2016,71.85%,1
15+,Myanmar,male,Eastern and South-Eastern Asia,Total,2016,80.01%,1
15+,Myanmar,total,Eastern and South-Eastern Asia,Total,2016,75.55%,1
15-24,Myanmar,female,Eastern and South-Eastern Asia,Total,2016,84.41%,1
15-24,Myanmar,male,Eastern and South-Eastern Asia,Total,2016,85.12%,1
15-24,Myanmar,total,Eastern and South-Eastern Asia,Total,2016,84.75%,1
25-64,Myanmar,female,Eastern and South-Eastern Asia,Total,2016,71.68%,1
25-64,Myanmar,male,Eastern and South-Eastern Asia,Total,2016,79.64%,1
25-64,Myanmar,total,Eastern and South-Eastern Asia,Total,2016,75.27%,1
65+,Myanmar,female,Eastern and South-Eastern Asia,Total,2016,49.20%,1
65+,Myanmar,male,Eastern and South-Eastern Asia,Total,2016,70.58%,1
65+,Myanmar,total,Eastern and South-Eastern Asia,Total,2016,58.20%,1
15+,Philippines,female,Eastern and South-Eastern Asia,Total,2013,96.79%,1
15+,Philippines,male,Eastern and South-Eastern Asia,Total,2013,96.01%,1
15+,Philippines,total,Eastern and South-Eastern Asia,Total,2013,96.40%,1
15-24,Philippines,female,Eastern and South-Eastern Asia,Total,2013,98.82%,1
15-24,Philippines,male,Eastern and South-Eastern Asia,Total,2013,97.43%,1
15-24,Philippines,total,Eastern and South-Eastern Asia,Total,2013,98.11%,1
25-64,Philippines,female,Eastern and South-Eastern Asia,Total,2013,96.71%,1
25-64,Philippines,male,Eastern and South-Eastern Asia,Total,2013,95.85%,1
25-64,Philippines,total,Eastern and South-Eastern Asia,Total,2013,96.28%,1
65+,Philippines,female,Eastern and South-Eastern Asia,Total,2013,89.87%,1
65+,Philippines,male,Eastern and South-Eastern Asia,Total,2013,90.51%,1
65+,Philippines,total,Eastern and South-Eastern Asia,Total,2013,90.15%,1
15+,Philippines,female,Eastern and South-Eastern Asia,Total,2015,98.24%,1
15+,Philippines,male,Eastern and South-Eastern Asia,Total,2015,98.12%,1
15+,Philippines,total,Eastern and South-Eastern Asia,Total,2015,98.18%,1
15-24,Philippines,female,Eastern and South-Eastern Asia,Total,2015,99.27%,1
15-24,Philippines,male,Eastern and South-Eastern Asia,Total,2015,98.90%,1
15-24,Philippines,total,Eastern and South-Eastern Asia,Total,2015,99.08%,1
25-64,Philippines,female,Eastern and South-Eastern Asia,Total,2015,98.31%,1
25-64,Philippines,male,Eastern and South-Eastern Asia,Total,2015,98.09%,1
25-64,Philippines,total,Eastern and South-Eastern Asia,Total,2015,98.20%,1
65+,Philippines,female,Eastern and South-Eastern Asia,Total,2015,94.12%,1
65+,Philippines,male,Eastern and South-Eastern Asia,Total,2015,94.60%,1
65+,Philippines,total,Eastern and South-Eastern Asia,Total,2015,94.32%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2010,93.77%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2010,98.04%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2010,95.86%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2010,99.77%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2010,99.74%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2010,99.75%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2010,97.52%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2010,98.60%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2010,98.05%,1
65+,Singapore,female,Eastern and South-Eastern Asia,Total,2010,63.71%,1
65+,Singapore,male,Eastern and South-Eastern Asia,Total,2010,90.99%,1
65+,Singapore,total,Eastern and South-Eastern Asia,Total,2010,75.72%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2011,94.07%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2011,98.39%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2011,96.19%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2011,99.88%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2011,99.89%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2011,99.89%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2011,98.71%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2011,98.71%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2011,97.36%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2012,94.36%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2012,98.47%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2012,96.37%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2012,99.89%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2012,99.90%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2012,99.89%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2012,96.26%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2012,98.78%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2012,97.48%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2013,94.64%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2013,98.54%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2013,96.55%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2013,99.90%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2013,99.90%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2013,99.90%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2013,96.44%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2013,98.85%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2013,97.61%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2014,94.91%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2014,98.61%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2014,96.72%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2014,99.90%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2014,99.90%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2014,99.90%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2014,96.64%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2014,98.92%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2014,97.74%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2015,95.19%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2015,98.56%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2015,96.83%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2015,99.84%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2015,99.74%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2015,99.78%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2015,98.53%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2015,99.02%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2015,98.76%,1
65+,Singapore,female,Eastern and South-Eastern Asia,Total,2015,75.52%,1
65+,Singapore,male,Eastern and South-Eastern Asia,Total,2015,94.63%,1
65+,Singapore,total,Eastern and South-Eastern Asia,Total,2015,84.05%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2016,95.45%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2016,98.73%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2016,97.05%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2016,99.94%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2016,99.91%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2016,99.93%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2016,97.02%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2016,99.04%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2016,98.00%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2017,95.69%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2017,98.80%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2017,97.20%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2017,99.94%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2017,99.92%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2017,99.93%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2017,95.01%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2017,98.59%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2017,96.74%,1
15+,Singapore,female,Eastern and South-Eastern Asia,Total,2018,95.92%,1
15+,Singapore,male,Eastern and South-Eastern Asia,Total,2018,98.85%,1
15+,Singapore,total,Eastern and South-Eastern Asia,Total,2018,97.34%,1
15-24,Singapore,female,Eastern and South-Eastern Asia,Total,2018,99.94%,1
15-24,Singapore,male,Eastern and South-Eastern Asia,Total,2018,99.92%,1
15-24,Singapore,total,Eastern and South-Eastern Asia,Total,2018,99.93%,1
25-64,Singapore,female,Eastern and South-Eastern Asia,Total,2018,95.29%,1
25-64,Singapore,male,Eastern and South-Eastern Asia,Total,2018,98.67%,1
25-64,Singapore,total,Eastern and South-Eastern Asia,Total,2018,96.92%,1
15+,Thailand,female,Eastern and South-Eastern Asia,Total,2010,96.43%,1
15+,Thailand,male,Eastern and South-Eastern Asia,Total,2010,96.44%,1
15+,Thailand,total,Eastern and South-Eastern Asia,Total,2010,96.43%,1
15-24,Thailand,female,Eastern and South-Eastern Asia,Total,2010,96.55%,1
15-24,Thailand,male,Eastern and South-Eastern Asia,Total,2010,96.64%,1
15-24,Thailand,total,Eastern and South-Eastern Asia,Total,2010,96.60%,1
25-64,Thailand,female,Eastern and South-Eastern Asia,Total,2010,97.12%,1
25-64,Thailand,male,Eastern and South-Eastern Asia,Total,2010,96.66%,1
25-64,Thailand,total,Eastern and South-Eastern Asia,Total,2010,96.90%,1
65+,Thailand,female,Eastern and South-Eastern Asia,Total,2010,92.01%,1
65+,Thailand,male,Eastern and South-Eastern Asia,Total,2010,94.40%,1
65+,Thailand,total,Eastern and South-Eastern Asia,Total,2010,93.07%,1
15+,Thailand,female,Eastern and South-Eastern Asia,Total,2013,92.25%,1
15+,Thailand,male,Eastern and South-Eastern Asia,Total,2013,95.25%,1
15+,Thailand,total,Eastern and South-Eastern Asia,Total,2013,93.70%,1
15-24,Thailand,female,Eastern and South-Eastern Asia,Total,2013,98.65%,1
15-24,Thailand,male,Eastern and South-Eastern Asia,Total,2013,97.98%,1
15-24,Thailand,total,Eastern and South-Eastern Asia,Total,2013,98.31%,1
25-64,Thailand,female,Eastern and South-Eastern Asia,Total,2013,94.19%,1
25-64,Thailand,male,Eastern and South-Eastern Asia,Total,2013,96.25%,1
25-64,Thailand,total,Eastern and South-Eastern Asia,Total,2013,95.19%,1
65+,Thailand,female,Eastern and South-Eastern Asia,Total,2013,72.64%,1
65+,Thailand,male,Eastern and South-Eastern Asia,Total,2013,83.65%,1
65+,Thailand,total,Eastern and South-Eastern Asia,Total,2013,77.63%,1
15+,Thailand,female,Eastern and South-Eastern Asia,Total,2015,91.19%,1
15+,Thailand,male,Eastern and South-Eastern Asia,Total,2015,94.66%,1
15+,Thailand,total,Eastern and South-Eastern Asia,Total,2015,92.87%,1
15-24,Thailand,female,Eastern and South-Eastern Asia,Total,2015,98.29%,1
15-24,Thailand,male,Eastern and South-Eastern Asia,Total,2015,98.00%,1
15-24,Thailand,total,Eastern and South-Eastern Asia,Total,2015,98.15%,1
25-64,Thailand,female,Eastern and South-Eastern Asia,Total,2015,93.90%,1
25-64,Thailand,male,Eastern and South-Eastern Asia,Total,2015,95.77%,1
25-64,Thailand,total,Eastern and South-Eastern Asia,Total,2015,94.81%,1
65+,Thailand,female,Eastern and South-Eastern Asia,Total,2015,73.27%,1
65+,Thailand,male,Eastern and South-Eastern Asia,Total,2015,85.39%,1
65+,Thailand,total,Eastern and South-Eastern Asia,Total,2015,78.73%,1
15+,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2010,52.96%,1
15+,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2010,63.59%,1
15+,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2010,58.31%,1
15-24,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2010,78.57%,1
15-24,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2010,80.49%,1
15-24,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2010,79.53%,1
25-64,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2010,44.36%,1
25-64,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2010,60.57%,1
25-64,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2010,52.56%,1
65+,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2010,7.71%,1
65+,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2010,14.71%,1
65+,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2010,11.17%,1
15+,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2018,64.21%,1
15+,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2018,71.87%,1
15+,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2018,68.07%,1
15-24,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2018,84.65%,1
15-24,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2018,82.46%,1
15-24,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2018,83.54%,1
25-64,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2018,59.14%,1
25-64,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2018,71.07%,1
25-64,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2018,65.18%,1
65+,Timor-Leste,female,Eastern and South-Eastern Asia,Total,2018,9.50%,1
65+,Timor-Leste,male,Eastern and South-Eastern Asia,Total,2018,21.41%,1
65+,Timor-Leste,total,Eastern and South-Eastern Asia,Total,2018,15.04%,1
15+,Viet Nam,female,Eastern and South-Eastern Asia,Total,2018,93.60%,1
15+,Viet Nam,male,Eastern and South-Eastern Asia,Total,2018,96.46%,1
15+,Viet Nam,total,Eastern and South-Eastern Asia,Total,2018,95.00%,1
15-24,Viet Nam,female,Eastern and South-Eastern Asia,Total,2018,98.35%,1
15-24,Viet Nam,male,Eastern and South-Eastern Asia,Total,2018,98.46%,1
15-24,Viet Nam,total,Eastern and South-Eastern Asia,Total,2018,98.41%,1
25-64,Viet Nam,female,Eastern and South-Eastern Asia,Total,2018,94.50%,1
25-64,Viet Nam,male,Eastern and South-Eastern Asia,Total,2018,96.11%,1
25-64,Viet Nam,total,Eastern and South-Eastern Asia,Total,2018,95.30%,1
65+,Viet Nam,female,Eastern and South-Eastern Asia,Total,2018,80.31%,1
65+,Viet Nam,male,Eastern and South-Eastern Asia,Total,2018,94.49%,1
65+,Viet Nam,total,Eastern and South-Eastern Asia,Total,2018,85.84%,1
15+,Albania,female,Europe and Northern America,Total,2011,95.69%,1
15+,Albania,male,Europe and Northern America,Total,2011,98.01%,1
15+,Albania,total,Europe and Northern America,Total,2011,96.85%,1
15-24,Albania,female,Europe and Northern America,Total,2011,98.86%,1
15-24,Albania,male,Europe and Northern America,Total,2011,98.73%,1
15-24,Albania,total,Europe and Northern America,Total,2011,98.79%,1
25-64,Albania,female,Europe and Northern America,Total,2011,98.53%,1
25-64,Albania,male,Europe and Northern America,Total,2011,98.70%,1
25-64,Albania,total,Europe and Northern America,Total,2011,98.61%,1
65+,Albania,female,Europe and Northern America,Total,2011,79.33%,1
65+,Albania,male,Europe and Northern America,Total,2011,93.79%,1
65+,Albania,total,Europe and Northern America,Total,2011,86.30%,1
15+,Albania,female,Europe and Northern America,Total,2012,96.14%,1
15+,Albania,male,Europe and Northern America,Total,2012,98.35%,1
15+,Albania,total,Europe and Northern America,Total,2012,97.25%,1
15-24,Albania,female,Europe and Northern America,Total,2012,99.02%,1
15-24,Albania,male,Europe and Northern America,Total,2012,99.38%,1
15-24,Albania,total,Europe and Northern America,Total,2012,99.23%,1
25-64,Albania,female,Europe and Northern America,Total,2012,98.82%,1
25-64,Albania,male,Europe and Northern America,Total,2012,99.02%,1
25-64,Albania,total,Europe and Northern America,Total,2012,98.92%,1
65+,Albania,female,Europe and Northern America,Total,2012,83.89%,1
65+,Albania,male,Europe and Northern America,Total,2012,91.99%,1
65+,Albania,total,Europe and Northern America,Total,2012,86.91%,1
15+,Albania,female,Europe and Northern America,Total,2018,97.76%,1
15+,Albania,male,Europe and Northern America,Total,2018,98.51%,1
15+,Albania,total,Europe and Northern America,Total,2018,98.14%,1
15-24,Albania,female,Europe and Northern America,Total,2018,99.63%,1
15-24,Albania,male,Europe and Northern America,Total,2018,99.05%,1
15-24,Albania,total,Europe and Northern America,Total,2018,99.33%,1
25-64,Albania,female,Europe and Northern America,Total,2018,98.85%,1
25-64,Albania,male,Europe and Northern America,Total,2018,99.21%,1
25-64,Albania,total,Europe and Northern America,Total,2018,99.03%,1
65+,Albania,female,Europe and Northern America,Total,2018,91.82%,1
65+,Albania,male,Europe and Northern America,Total,2018,95.02%,1
65+,Albania,total,Europe and Northern America,Total,2018,93.36%,1
15+,Belarus,female,Europe and Northern America,Total,2018,99.73%,1
15+,Belarus,male,Europe and Northern America,Total,2018,99.79%,1
15+,Belarus,total,Europe and Northern America,Total,2018,99.76%,1
15-24,Belarus,female,Europe and Northern America,Total,2018,99.87%,1
15-24,Belarus,male,Europe and Northern America,Total,2018,99.83%,1
15-24,Belarus,total,Europe and Northern America,Total,2018,99.85%,1
25-64,Belarus,female,Europe and Northern America,Total,2018,99.84%,1
25-64,Belarus,male,Europe and Northern America,Total,2018,99.79%,1
25-64,Belarus,total,Europe and Northern America,Total,2018,99.82%,1
65+,Belarus,female,Europe and Northern America,Total,2018,99.30%,1
65+,Belarus,male,Europe and Northern America,Total,2018,99.75%,1
65+,Belarus,total,Europe and Northern America,Total,2018,99.44%,1
15+,Bosnia and Herzegovina,female,Europe and Northern America,Total,2011,96.80%,1
15+,Bosnia and Herzegovina,male,Europe and Northern America,Total,2011,99.54%,1
15+,Bosnia and Herzegovina,total,Europe and Northern America,Total,2011,98.14%,1
15-24,Bosnia and Herzegovina,female,Europe and Northern America,Total,2011,99.15%,1
15-24,Bosnia and Herzegovina,male,Europe and Northern America,Total,2011,99.75%,1
15-24,Bosnia and Herzegovina,total,Europe and Northern America,Total,2011,99.46%,1
25-64,Bosnia and Herzegovina,female,Europe and Northern America,Total,2011,97.37%,1
25-64,Bosnia and Herzegovina,male,Europe and Northern America,Total,2011,99.55%,1
25-64,Bosnia and Herzegovina,total,Europe and Northern America,Total,2011,98.45%,1
65+,Bosnia and Herzegovina,female,Europe and Northern America,Total,2011,91.74%,1
65+,Bosnia and Herzegovina,male,Europe and Northern America,Total,2011,99.12%,1
65+,Bosnia and Herzegovina,total,Europe and Northern America,Total,2011,94.74%,1
15+,Bosnia and Herzegovina,female,Europe and Northern America,Total,2013,94.91%,1
15+,Bosnia and Herzegovina,male,Europe and Northern America,Total,2013,99.18%,1
15+,Bosnia and Herzegovina,total,Europe and Northern America,Total,2013,96.99%,1
15-24,Bosnia and Herzegovina,female,Europe and Northern America,Total,2013,99.67%,1
15-24,Bosnia and Herzegovina,male,Europe and Northern America,Total,2013,99.66%,1
15-24,Bosnia and Herzegovina,total,Europe and Northern America,Total,2013,99.66%,1
25-64,Bosnia and Herzegovina,female,Europe and Northern America,Total,2013,98.58%,1
25-64,Bosnia and Herzegovina,male,Europe and Northern America,Total,2013,99.50%,1
25-64,Bosnia and Herzegovina,total,Europe and Northern America,Total,2013,99.04%,1
65+,Bosnia and Herzegovina,female,Europe and Northern America,Total,2013,78.11%,1
65+,Bosnia and Herzegovina,male,Europe and Northern America,Total,2013,97.03%,1
65+,Bosnia and Herzegovina,total,Europe and Northern America,Total,2013,86.04%,1
15+,Bulgaria,female,Europe and Northern America,Total,2011,97.98%,1
15+,Bulgaria,male,Europe and Northern America,Total,2011,98.75%,1
15+,Bulgaria,total,Europe and Northern America,Total,2011,98.35%,1
15-24,Bulgaria,female,Europe and Northern America,Total,2011,97.65%,1
15-24,Bulgaria,male,Europe and Northern America,Total,2011,98.07%,1
15-24,Bulgaria,total,Europe and Northern America,Total,2011,97.87%,1
25-64,Bulgaria,female,Europe and Northern America,Total,2011,98.53%,1
25-64,Bulgaria,male,Europe and Northern America,Total,2011,98.92%,1
25-64,Bulgaria,total,Europe and Northern America,Total,2011,98.73%,1
65+,Bulgaria,female,Europe and Northern America,Total,2011,96.75%,1
65+,Bulgaria,male,Europe and Northern America,Total,2011,98.64%,1
65+,Bulgaria,total,Europe and Northern America,Total,2011,97.52%,1
15+,Croatia,female,Europe and Northern America,Total,2011,98.67%,1
15+,Croatia,male,Europe and Northern America,Total,2011,99.63%,1
15+,Croatia,total,Europe and Northern America,Total,2011,99.13%,1
15-24,Croatia,female,Europe and Northern America,Total,2011,99.74%,1
15-24,Croatia,male,Europe and Northern America,Total,2011,99.71%,1
15-24,Croatia,total,Europe and Northern America,Total,2011,99.72%,1
25-64,Croatia,female,Europe and Northern America,Total,2011,99.59%,1
25-64,Croatia,male,Europe and Northern America,Total,2011,99.70%,1
25-64,Croatia,total,Europe and Northern America,Total,2011,99.64%,1
65+,Croatia,female,Europe and Northern America,Total,2011,95.72%,1
65+,Croatia,male,Europe and Northern America,Total,2011,99.28%,1
65+,Croatia,total,Europe and Northern America,Total,2011,97.11%,1
15+,Estonia,female,Europe and Northern America,Total,2011,99.91%,1
15+,Estonia,male,Europe and Northern America,Total,2011,99.86%,1
15+,Estonia,total,Europe and Northern America,Total,2011,99.89%,1
15-24,Estonia,female,Europe and Northern America,Total,2011,99.96%,1
15-24,Estonia,male,Europe and Northern America,Total,2011,99.94%,1
15-24,Estonia,total,Europe and Northern America,Total,2011,99.95%,1
25-64,Estonia,female,Europe and Northern America,Total,2011,99.90%,1
25-64,Estonia,male,Europe and Northern America,Total,2011,99.83%,1
25-64,Estonia,total,Europe and Northern America,Total,2011,99.87%,1
65+,Estonia,female,Europe and Northern America,Total,2011,99.67%,1
65+,Estonia,male,Europe and Northern America,Total,2011,99.80%,1
65+,Estonia,total,Europe and Northern America,Total,2011,99.72%,1
15+,Greece,female,Europe and Northern America,Total,2011,96.50%,1
15+,Greece,male,Europe and Northern America,Total,2011,98.28%,1
15+,Russian Federation,female,Europe and Northern America,Total,2010,99.65%,1
15+,Spain,female,Europe and Northern America,Total,2010,97.00%,1
15+,Italy,female,Europe and Northern America,Total,2011,98.58%,1
15+,Latvia,female,Europe and Northern America,Total,2011,99.91%,1
15+,Lithuania,female,Europe and Northern America,Total,2011,99.83%,1
15+,Malta,female,Europe and Northern America,Total,2011,94.79%,1
15+,Montenegro,female,Europe and Northern America,Total,2011,97.50%,1
15+,Portugal,female,Europe and Northern America,Total,2011,92.86%,1
15+,Romania,female,Europe and Northern America,Total,2011,98.21%,1
15+,Serbia,female,Europe and Northern America,Total,2011,96.75%,1
15+,Spain,female,Europe and Northern America,Total,2011,97.07%,1
15+,Republic of Moldova,female,Europe and Northern America,Total,2012,98.92%,1
15+,Spain,female,Europe and Northern America,Total,2012,97.22%,1
15+,Ukraine,female,Europe and Northern America,Total,2012,99.96%,1
15+,Spain,female,Europe and Northern America,Total,2013,97.44%,1
15+,Hungary,female,Europe and Northern America,Total,2014,99.10%,1
15+,Republic of Moldova,female,Europe and Northern America,Total,2014,99.14%,1
15+,Slovenia,female,Europe and Northern America,Total,2014,99.60%,1
15+,Spain,female,Europe and Northern America,Total,2014,97.49%,1
15+,The former Yugoslav Republic of Macedonia,female,Europe and Northern America,Total,2014,96.70%,1
15+,Spain,female,Europe and Northern America,Total,2015,97.55%,1
15+,Serbia,female,Europe and Northern America,Total,2016,98.23%,1
15+,Spain,female,Europe and Northern America,Total,2016,97.70%,1
15+,Italy,female,Europe and Northern America,Total,2018,98.97%,1
15+,Malta,female,Europe and Northern America,Total,2018,95.99%,1
15+,Montenegro,female,Europe and Northern America,Total,2018,98.27%,1
15+,Portugal,female,Europe and Northern America,Total,2018,95.07%,1
15+,Romania,female,Europe and Northern America,Total,2018,98.60%,1
15+,Russian Federation,female,Europe and Northern America,Total,2018,99.73%,1
15+,San Marino,female,Europe and Northern America,Total,2018,99.90%,1
15+,Serbia,female,Europe and Northern America,Total,2018,97.55%,1
15+,Spain,female,Europe and Northern America,Total,2018,97.97%,1
15+,Argentina,female,Latin America and the Caribbean,Total,2010,98.93%,1
15+,Aruba,female,Latin America and the Caribbean,Total,2010,96.72%,1
15+,Brazil,female,Latin America and the Caribbean,Total,2010,90.68%,1
15+,Colombia,female,Latin America and the Caribbean,Total,2010,93.49%,1
15+,Dominican Republic,female,Latin America and the Caribbean,Total,2010,89.70%,1
15+,Ecuador,female,Latin America and the Caribbean,Total,2010,90.47%,1
15+,El Salvador,female,Latin America and the Caribbean,Total,2010,82.31%,1
15+,Honduras,female,Latin America and the Caribbean,Total,2010,84.73%,1
15+,Mexico,female,Latin America and the Caribbean,Total,2010,91.85%,1
15+,Panama,female,Latin America and the Caribbean,Total,2010,93.49%,1
15+,Paraguay,female,Latin America and the Caribbean,Total,2010,92.93%,1
15+,Puerto Rico,female,Latin America and the Caribbean,Total,2010,92.53%,1
15+,Suriname,female,Latin America and the Caribbean,Total,2010,94.00%,1
15+,Trinidad and Tobago,female,Latin America and the Caribbean,Total,2010,98.30%,1
15+,Uruguay,female,Latin America and the Caribbean,Total,2010,98.49%,1
15+,Antigua and Barbuda,female,Latin America and the Caribbean,Total,2011,99.42%,1
15+,Argentina,female,Latin America and the Caribbean,Total,2011,99.00%,1
15+,Bolivia (Plurinational State of),female,Latin America and the Caribbean,Total,2011,88.08%,1
15+,Brazil,female,Latin America and the Caribbean,Total,2011,91.63%,1
15+,Chile,female,Latin America and the Caribbean,Total,2011,96.53%,1
15+,Colombia,female,Latin America and the Caribbean,Total,2011,93.67%,1
15+,Costa Rica,female,Latin America and the Caribbean,Total,2011,97.50%,1
15+,Dominican Republic,female,Latin America and the Caribbean,Total,2011,90.23%,1
15+,Ecuador,female,Latin America and the Caribbean,Total,2011,90.22%,1
15+,El Salvador,female,Latin America and the Caribbean,Total,2011,83.02%,1
15+,Honduras,female,Latin America and the Caribbean,Total,2011,84.93%,1
15+,Mexico,female,Latin America and the Caribbean,Total,2011,92.34%,1
15+,Uruguay,female,Latin America and the Caribbean,Total,2011,98.62%,1
15+,Venezuela (Bolivarian Republic of),female,Latin America and the Caribbean,Total,2011,95.03%,1
15+,Argentina,female,Latin America and the Caribbean,Total,2012,99.10%,1
15+,Bolivia (Plurinational State of),female,Latin America and the Caribbean,Total,2012,91.87%,1
15+,Brazil,female,Latin America and the Caribbean,Total,2012,91.62%,1
15+,Cuba,female,Latin America and the Caribbean,Total,2012,99.80%,1
15+,Dominican Republic,female,Latin America and the Caribbean,Total,2012,90.22%,1
15+,Ecuador,female,Latin America and the Caribbean,Total,2012,90.95%,1
